Data,Temperatura (°C),Temperatura máx (°C),Temperatura mín (°C),Temperatura da água (°C),Precipitação (mm),Horas de sol (h)
01/01/2021,26 °C,30 °C,24 °C,28 °C,1.3 mm,6.6
02/01/2021,26 °C,31 °C,24 °C,28 °C,1.7 mm,7.0
03/01/2021,27 °C,31 °C,24 °C,28 °C,1.4 mm,7.2
04/01/2021,26 °C,30 °C,24 °C,28 °C,1.6 mm,6.5
05/01/2021,26 °C,31 °C,24 °C,28 °C,1.4 mm,7.4
06/01/2021,26 °C,30 °C,24 °C,28 °C,1.6 mm,7.4
07/01/2021,26 °C,30 °C,24 °C,28 °C,1.6 mm,7.4
08/01/2021,26 °C,30 °C,24 °C,28 °C,1.7 mm,7.4
09/01/2021,26 °C,30 °C,24 °C,28 °C,2.1 mm,6.9
10/01/2021,26 °C,30 °C,24 °C,28 °C,2.4 mm,7.2
11/01/2021,26 °C,30 °C,24 °C,28 °C,1.8 mm,7.2
12/01/2021,26 °C,30 °C,24 °C,28 °C,2.4 mm,6.3
13/01/2021,26 °C,30 °C,24 °C,28 °C,2.1 mm,6.6
14/01/2021,26 °C,30 °C,24 °C,28 °C,2.1 mm,6.2
15/01/2021,26 °C,30 °C,24 °C,28 °C,1.8 mm,7.1
16/01/2021,26 °C,30 °C,24 °C,28 °C,2.1 mm,6.4
17/01/2021,26 °C,30 °C,24 °C,28 °C,2.3 mm,6.7
18/01/2021,26 °C,30 °C,24 °C,28 °C,2.1 mm,6.6
19/01/2021,26 °C,30 °C,24 °C,28 °C,2.3 mm,7.2
20/01/2021,26 °C,31 °C,24 °C,28 °C,2.7 mm,7.0
21/01/2021,26 °C,30 °C,24 °C,28 °C,3.0 mm,6.3
22/01/2021,26 °C,30 °C,24 °C,28 °C,3.4 mm,6.5
23/01/2021,26 °C,30 °C,24 °C,28 °C,2.4 mm,6.8
24/01/2021,26 °C,30 °C,24 °C,28 °C,1.8 mm,7.0
25/01/2021,26 °C,30 °C,24 °C,28 °C,2.2 mm,7.3
26/01/2021,26 °C,31 °C,24 °C,28 °C,2.3 mm,7.5
27/01/2021,26 °C,30 °C,24 °C,28 °C,2.8 mm,6.9
28/01/2021,27 °C,30 °C,24 °C,28 °C,2.8 mm,6.9
29/01/2021,26 °C,30 °C,24 °C,28 °C,2.7 mm,6.8
30/01/2021,26 °C,30 °C,24 °C,28 °C,2.0 mm,6.9
31/01/2021,26 °C,31 °C,24 °C,28 °C,2.3 mm,6.9
01/02/2021,27 °C,31 °C,24 °C,28 °C,1.8 mm,7.4
02/02/2021,27 °C,31 °C,24 °C,28 °C,2.1 mm,6.9
03/02/2021,27 °C,31 °C,24 °C,28 °C,2.4 mm,6.7
04/02/2021,27 °C,31 °C,24 °C,28 °C,1.9 mm,6.8
05/02/2021,27 °C,31 °C,24 °C,28 °C,2.4 mm,7.4
06/02/2021,27 °C,31 °C,24 °C,28 °C,2.3 mm,7.2
07/02/2021,27 °C,31 °C,24 °C,28 °C,1.4 mm,7.4
08/02/2021,27 °C,31 °C,24 °C,28 °C,1.9 mm,7.1
09/02/2021,27 °C,31 °C,24 °C,28 °C,2.0 mm,7.4
10/02/2021,26 °C,31 °C,24 °C,28 °C,2.4 mm,7.2
11/02/2021,27 °C,31 °C,24 °C,28 °C,2.0 mm,7.2
12/02/2021,27 °C,31 °C,24 °C,28 °C,2.2 mm,7.1
13/02/2021,27 °C,31 °C,24 °C,28 °C,3.8 mm,6.9
14/02/2021,26 °C,30 °C,24 °C,28 °C,3.0 mm,7.0
15/02/2021,26 °C,30 °C,24 °C,28 °C,2.5 mm,6.8
16/02/2021,27 °C,31 °C,24 °C,28 °C,2.7 mm,7.2
17/02/2021,27 °C,31 °C,24 °C,28 °C,3.4 mm,7.1
18/02/2021,26 °C,30 °C,24 °C,28 °C,4.0 mm,6.8
19/02/2021,26 °C,30 °C,24 °C,28 °C,2.7 mm,6.9
20/02/2021,26 °C,30 °C,24 °C,28 °C,3.4 mm,6.9
21/02/2021,26 °C,30 °C,24 °C,28 °C,2.9 mm,6.5
22/02/2021,26 °C,30 °C,24 °C,28 °C,3.8 mm,7.3
23/02/2021,26 °C,30 °C,24 °C,28 °C,3.4 mm,6.5
24/02/2021,27 °C,31 °C,24 °C,28 °C,2.2 mm,7.1
25/02/2021,27 °C,31 °C,24 °C,28 °C,2.0 mm,7.3
26/02/2021,27 °C,31 °C,24 °C,28 °C,1.9 mm,6.9
27/02/2021,27 °C,31 °C,24 °C,29 °C,2.0 mm,6.7
28/02/2021,27 °C,30 °C,24 °C,28 °C,2.6 mm,6.4
29/02/2021,28 °C,31 °C,25 °C,29 °C,2.6 mm,7.4
01/03/2021,27 °C,31 °C,24 °C,28 °C,2.2 mm,6.8
02/03/2021,27 °C,31 °C,24 °C,29 °C,3.1 mm,6.8
03/03/2021,27 °C,31 °C,24 °C,29 °C,2.2 mm,6.8
04/03/2021,26 °C,30 °C,24 °C,29 °C,3.1 mm,6.9
05/03/2021,27 °C,31 °C,24 °C,29 °C,3.1 mm,6.8
06/03/2021,27 °C,31 °C,24 °C,29 °C,1.8 mm,7.1
07/03/2021,27 °C,31 °C,24 °C,29 °C,1.6 mm,7.6
08/03/2021,27 °C,31 °C,24 °C,29 °C,2.0 mm,7.5
