solicitacao_data,solicitacao_bairro,count,latitude,longitude
2012-12-31,AFLITOS,2,-8.0397908,-34.896209
2012-12-31,AFOGADOS,12,-8.077032599000002,-34.9095264
2012-12-31,AGUA FRIA,129,-8.014905799999978,-34.90000000000003
2012-12-31,ALTO DA BELA VISTA,2,-8.0578381,-34.8828969
2012-12-31,ALTO DO MANDU,4,-8.0232116,-34.9273788
2012-12-31,ALTO DO REFUGIO,1,-8.0578381,-34.8828969
2012-12-31,ALTO JOSE BONIFACIO,88,-8.013559699999984,-34.91030720002448
2012-12-31,ALTO JOSE DO PINHO,7,-8.022757,-34.9079298
2012-12-31,ALTO SANTA ISABEL,3,-8.02798515,-34.9209138000256
2012-12-31,ALTO SANTA TEREZINHA,48,-8.016377499999994,-34.901913599999965
2012-12-31,APIPUCOS,5,-8.019734999,-34.9295997
2012-12-31,AREIAS,2,-8.094270099,-34.9315393
2012-12-31,ARRUDA,1,-8.02437095,-34.88833630000002
2012-12-31,BARRA DE GUABIRABA,1,-7.9648352,-34.9228915
2012-12-31,BARREIRAS,1,-8.0578381,-34.8828969
2012-12-31,BARRO,2,-8.095978349500001,-34.94431650000001
2012-12-31,BEBERIBE,39,-8.00685145,-34.896235400000016
2012-12-31,BOA VIAGEM,47,-8.131730299000008,-34.90000000000002
2012-12-31,BOA VISTA,27,-8.060600999999998,-34.8867896000221
2012-12-31,BOLA NA REDE,4,-8.0578381,-34.8828969
2012-12-31,BOMBA DO HEMETERIO,27,-8.020734400000002,-34.899999999999984
2012-12-31,BONGI,3,-8.0655751,-34.9180396
2012-12-31,BRASILIA TEIMOSA,5,-8.0834808,-34.88025650000002
2012-12-31,BREJO DA GUABIRABA,77,-7.9930037999999985,-34.932744900000046
2012-12-31,BREJO DE BEBERIBE,9,-7.999055099999999,-34.91757840001265
2012-12-31,CABANGA,1,-8.0775059,-34.8948289
2012-12-31,CAJUEIRO,7,-8.013069450000001,-34.885157800010944
2012-12-31,CAMPINA DO BARRETO,1,-8.0168812,-34.881698099999994
2012-12-31,CAMPO GRANDE,14,-8.030383299999999,-34.88104874999999
2012-12-31,CASA AMARELA,71,-8.025753399499994,-34.90797364999999
2012-12-31,CASA FORTE,2,-8.033553399,-34.9146202
2012-12-31,CAXANGA,8,-8.026031000000001,-34.95430780000004
2012-12-31,CENTRO,1,-8.0578381,-34.8828969
2012-12-31,COELHOS,1,-8.0672975,-34.88939549999998
2012-12-31,COHAB,38,-8.120594249499998,-34.95013599999999
2012-12-31,COQUEIRAL,16,-8.086452199999998,-34.96811590000003
2012-12-31,CORDEIRO,16,-8.050290500000001,-34.92285785000001
2012-12-31,CORREGO DA BICA,1,-8.0578381,-34.8828969
2012-12-31,CORREGO DA FURTUNA,1,-8.0578381,-34.8828969
2012-12-31,CORREGO DA LORA,1,-8.0578381,-34.8828969
2012-12-31,CORREGO DO JENIPAPO,9,-8.006576799,-34.9
2012-12-31,CORREGO JOSE IDALINO,1,-8.0578381,-34.8828969
2012-12-31,CURADO,2,-8.0711724,-34.9540245
2012-12-31,DERBY,1,-8.0561983,-34.8996565
2012-12-31,DOIS IRMAOS,81,-8.016178599999993,-34.94524950000003
2012-12-31,DOIS UNIDOS,224,-8.001472200000027,-34.91405849999979
2012-12-31,ENCRUZILHADA,3,-8.0355207,-34.8899976
2012-12-31,ENGENHO DO MEIO,3,-8.057415599999999,-34.9420069000281
2012-12-31,ESPINHEIRO,6,-8.0434298,-34.89307424999999
2012-12-31,ESTANCIA,4,-8.08331405462567,-34.92945175
2012-12-31,FUNDAO,13,-8.014987200000004,-34.8901232
2012-12-31,GRACAS,5,-8.0464762,-34.900759549999975
2012-12-31,GUABIRABA,256,-7.990334200000006,-34.92289150000016
2012-12-31,HIPODROMO,2,-8.0325089,-34.8879346
2012-12-31,IBURA,499,-8.117809249999958,-34.93744350000035
2012-12-31,ILHA DO LEITE,2,-8.0647235,-34.893522450000006
2012-12-31,ILHA JOANA BEZERRA,2,-8.0713296,-34.89947380000001
2012-12-31,IMBIRIBEIRA,9,-8.1036898,-34.91029945000002
2012-12-31,IPSEP,10,-8.109990299999998,-34.92109540000001
2012-12-31,IPUTINGA,16,-8.036712800000002,-34.93527039999999
2012-12-31,JANGA,1,-8.0578381,-34.8828969
2012-12-31,JAQUEIRA,1,-8.034552099,-34.9
2012-12-31,JARDIM MONTE VERDE,6,-8.0578381,-34.8828969
2012-12-31,JARDIM SAO PAULO,23,-8.080351299999998,-34.899999999999984
2012-12-31,JARDIM TERESOPOLIS,6,-8.0578381,-34.8828969
2012-12-31,JARDIM VASCO DA GAMA,1,-8.0140379,-34.9187091
2012-12-31,JIQUIA,1,-8.08746895,-34.92434594999999
2012-12-31,JORDAO,121,-8.135885799999988,-34.92855969999993
2012-12-31,LAGOA ENCANTADA,4,-8.0578381,-34.8828969
2012-12-31,LINHA DO TIRO,66,-8.009301400000012,-34.90600124999996
2012-12-31,MACAXEIRA,96,-8.013153599000011,-34.926610200000106
2012-12-31,MADALENA,5,-8.053580199,-34.90583240000001
2012-12-31,MANGABEIRA,12,-8.024161750000003,-34.90313230000004
2012-12-31,MANGUEIRA,1,-8.077028349499999,-34.91992714999999
2012-12-31,MONTEIRO,1,-8.0261520495,-34.92235680000002
